City,Population,Violent_crime,Murder_nonnegligent_manslaughter,Rape,Robbery,Aggravated_assault,Property_crime,Burglary,Larceny_theft,Motor_vehicle_theft,Arson
Knightdale,"18,351",42,0,10,9,23,326,23,285,18,1
Laurinburg,"14,928",160,3,5,27,125,762,386,328,48,28
Lenoir,"17,904",78,0,17,13,48,799,234,476,89,3
Lexington,"18,917",121,2,1,27,91,812,149,627,36,3
Long View,"4,921",5,0,2,0,3,88,20,55,13,0
Louisburg,"3,549",23,0,2,5,16,149,30,116,3,1
Lowell,"3,709",9,0,2,0,7,36,5,18,13,0
Maggie Valley,"1,230",14,0,1,0,13,103,50,45,8,0
Manteo,"1,453",5,0,0,1,4,34,4,28,2,0
Marion,"7,837",12,0,1,1,10,419,95,301,23,0
Marshville,"2,748",16,0,3,3,10,130,67,58,5,0
Matthews,"33,372",58,3,8,18,29,"1,112",111,959,42,0
Maysville,955,0,0,0,0,0,8,4,4,0,0
Mebane,"16,203",45,0,5,9,31,691,53,611,27,1
Middlesex,824,0,0,0,0,0,12,3,7,2,0
Mint Hill,"27,776",59,4,8,11,36,383,67,268,48,3
Mocksville,"5,322",14,0,5,4,5,109,16,90,3,4
Monroe,"35,630",332,2,37,70,223,"1,881",343,"1,407",131,9
Mooresville,"38,967",65,1,11,9,44,"1,050",81,913,56,8
Morehead City3,"9,721",28,0,1,2,25,,,380,14,1
Morganton,"16,524",82,1,13,4,64,613,182,402,29,1
Morrisville,"28,796",12,0,1,2,9,379,39,324,16,2
Mount Olive,"4,652",28,0,1,8,19,132,27,100,5,0
Murfreesboro,"3,072",5,0,1,4,0,74,28,43,3,0
Murphy,"1,657",15,0,2,1,12,119,43,68,8,0
Nags Head,"2,963",18,2,2,1,13,107,23,81,3,1
New Bern,"30,187",125,0,5,21,99,999,195,787,17,5
Newland,684,1,0,1,0,0,17,2,10,5,0
Newport,"4,666",7,0,3,0,4,51,10,38,3,0
Newton,"13,153",46,0,6,8,32,458,97,338,23,2
North Wilkesboro,"4,220",16,0,1,4,11,131,3,114,14,0
Oak Island,"8,244",15,0,3,1,11,135,28,99,8,0
Ocean Isle Beach,644,3,0,2,0,1,44,16,27,1,0
Oxford,"8,851",91,4,0,15,72,231,31,190,10,2
Pinehurst,"16,522",11,1,4,0,6,113,22,87,4,0
Pine Level,"2,016",8,0,2,1,5,25,5,19,1,1
Pineville,"9,088",68,1,4,21,42,"1,131",115,956,60,3
Pittsboro,"4,359",26,0,2,2,22,82,19,61,2,1
Plymouth,"3,400",37,1,4,4,28,139,57,68,14,2
Princeton,"1,402",0,0,0,0,0,16,4,11,1,0
Raeford,"5,001",17,2,3,4,8,107,23,78,6,0
Raleigh,"477,828","1,222",5,164,322,731,"8,520","1,200","6,572",748,36
Red Springs,"3,341",52,1,2,6,43,197,57,128,12,3
Reidsville,"13,959",105,0,7,19,79,890,121,704,65,2
Roanoke Rapids,"14,354",128,4,8,32,84,706,166,518,22,1
Robersonville,"1,348",9,0,1,2,6,35,12,20,3,0
Rockingham,"8,687",39,1,6,13,19,431,146,269,16,3
Rockwell,"2,151",7,0,2,1,4,30,4,24,2,0
Rocky Mount,"53,827",424,16,20,103,285,"1,627",420,"1,098",109,9
Rowland,"1,002",8,1,2,2,3,45,13,29,3,1
Roxboro,"8,299",61,1,3,12,45,365,89,269,7,3
Rutherfordton,"4,047",0,0,0,0,0,145,1,142,2,0
Salisbury,"33,877",249,2,15,69,163,"1,413",220,"1,094",99,9
Selma,"7,018",55,1,3,9,42,204,36,138,30,0
Shallotte,"4,396",9,2,1,3,3,315,31,277,7,0
Siler City,"8,237",67,1,13,10,43,325,44,255,26,1
Smithfield,"12,882",71,2,5,15,49,461,56,387,18,1
Snow Hill,"1,513",5,0,1,0,4,58,24,34,0,0
Southern Pines,"14,524",46,1,3,11,31,366,57,295,14,2
Southern Shores,"2,940",1,0,1,0,0,19,7,11,1,0
Southport,"3,961",4,0,3,0,1,97,6,90,1,0
Spencer,"3,238",11,0,1,5,5,73,17,48,8,0
Stallings,"16,173",20,0,5,2,13,199,43,139,17,1
Sugar Mountain,197,0,0,0,0,0,8,3,5,0,0
Swansboro,"3,354",2,1,0,0,1,127,16,106,5,0
Sylva,"2,742",9,0,3,0,6,149,14,127,8,0
Troutman,"2,755",4,0,2,2,0,67,16,49,2,0
Troy,"3,326",19,0,0,3,16,98,30,63,5,0
Valdese,"4,435",15,0,0,0,15,67,12,44,11,0
Wadesboro,"5,228",99,0,6,16,77,336,77,247,12,4
Wake Forest,"46,145",24,1,3,4,16,393,33,344,16,0
Warrenton,837,4,0,0,1,3,40,11,28,1,0
Washington,"9,497",71,0,4,10,57,357,62,281,14,2
Waxhaw,"17,203",25,0,4,4,17,156,46,107,3,0
Waynesville,"10,146",62,4,3,2,53,685,143,508,34,4
Weaverville,"4,013",4,0,2,0,2,153,1,146,6,0
Wendell,"8,096",6,0,1,2,3,77,22,45,10,0
