City,Population,Murder_nonnegligent_manslaughter,Rape,Robbery,Aggravated_assault,Violent_crime_total,Burglary,Larceny_theft,Motor_vehicle_theft,Arson,Property_crime_total,total_crime,crime_index,is_safe
Warrenton,837,0,0,1,3,4,11,28,1,0,40,44,5.25,0
Washington,9497,0,4,10,57,71,62,281,14,2,357,428,4.50,1
Waxhaw,17203,0,4,4,17,25,46,107,3,0,156,181,1.05,1
Waynesville,10146,4,3,2,53,62,143,508,34,4,685,747,7.36,0
Weaverville,4013,0,2,0,2,4,1,146,6,0,153,157,3.91,1
Wendell,8096,0,1,2,3,6,22,45,10,0,77,83,1.02,1
West Jefferson,1311,0,1,0,1,2,6,62,2,0,70,72,5.49,0
Whispering Pines,3385,0,0,0,0,0,3,28,0,0,31,31,0.91,1
Whiteville,5338,2,2,10,64,78,88,402,19,0,509,587,10.99,0
Wilkesboro,3491,0,4,2,9,15,12,204,13,2,229,244,6.98,0
Williamston,5217,1,6,3,56,66,80,260,8,2,348,414,7.93,0
Wilmington,124750,7,74,127,551,759,771,2564,258,18,3593,4352,3.48,1
Wilson,49344,2,18,60,140,220,364,1066,115,8,1545,1765,3.57,1
Windsor,3310,0,2,0,16,18,2,18,2,0,22,40,1.20,1
Winterville,9922,0,2,1,6,9,21,63,2,3,86,95,0.95,1
Wrightsville Beach,2550,0,7,2,21,30,15,77,4,1,96,126,4.94,1
Youngsville,1365,0,0,0,2,2,3,32,1,0,36,38,2.78,1
Zebulon,5814,0,1,6,17,24,24,199,11,1,234,258,4.43,1
